shopid,shopname,lat,lng,cateid,catename
16458740,平价超市（木樨园店）,39.8573186004134,116.389081816052,100970,商超生鲜
73429509,丽芝阳光鲜花坊,39.8596476272067,116.392209335023,101346,鲜花蛋糕
79705038,美味水果千层蛋糕,39.9255334111068,116.325733836117,101276,甜点饮品
79562608,彩虹坊蛋糕,39.9943337830108,116.404177376771,101276,甜点饮品
57481228,伊诺鲜花馆,39.8263158738902,116.318283446219,101346,鲜花蛋糕
58685726,海鲜兄弟美食汇,40.0460991007978,116.403510411437,101327,烧烤炸鸡
76676031,小龚香磨五谷膳食坊,39.8910373797075,116.467715266317,100970,商超生鲜
3641590,颐春堂（青年路店）,39.927065630757,116.510221450036,101276,甜点饮品
25042206,康源超市,39.8961081171379,116.457662132112,100970,商超生鲜
90088173,羊先生烧烤城（西直门店）,39.9541607850505,116.350420705161,101327,烧烤炸鸡
68127678,花畦苗铺鲜花,39.8273372151755,116.354780657451,101346,鲜花蛋糕
24958437,小贤家千层榴莲蛋糕,40.0551909804391,116.40699528124,101276,甜点饮品
59061894,爱丽莎酒庄（百子湾店）,39.9021380330572,116.485316075752,101276,甜点饮品
5149840,安顺成蔬菜水果,39.874101737374,116.341862290546,100970,商超生鲜
76985470,生鲜果蔬超市（石榴庄店）,39.8456502127742,116.41294206857,100970,商超生鲜
76741495,国米水果店,39.9316667547849,116.409436908303,100970,商超生鲜
90040117,幸福鸟烘焙店,39.9567801049992,116.35268306944,101276,甜点饮品
27471140,拾花记,39.9490596978413,116.430815982363,101346,鲜花蛋糕
76847602,南粤大地水果批发,39.8105644514236,116.335367472964,100970,商超生鲜
3215671,ebeecake小蜜蜂蛋糕,39.9849516864495,116.485654050921,101276,甜点饮品
22980860,丰四水果,39.8541315515261,116.27753490811,100970,商超生鲜
45586126,茶多美茗茶,39.8215222857502,116.333011555545,100970,商超生鲜
66902078,大运通力超市,39.890757060534,116.350662298027,100970,商超生鲜
72448920,北京溢香酒业,39.8749729820554,116.459615046736,100970,商超生鲜
68246752,丰四水果（中关村店）,39.9785156388731,116.315132458877,100970,商超生鲜
90420079,珍品汇海鲜（芍药居店）,39.987031719156,116.42551129944,100970,商超生鲜
69516957,绿色食材,39.8735245494697,116.355418655465,100970,商超生鲜
79560193,华都分割鸡蔬菜店（石榴园店）,39.8458300703752,116.412763865486,100970,商超生鲜
18693142,辣私房（小龙虾海鲜外卖）,39.9195846795927,116.426472552255,101327,烧烤炸鸡
77491601,花美丽鲜花,39.828607500146,116.348221947708,101346,鲜花蛋糕
79273405,IF品牌鲜花馆,40.0360487926966,116.303419928382,101346,鲜花蛋糕
68929444,九州达隆蔬菜水果,39.9017382521424,116.342527379007,100970,商超生鲜
66401182,百果园水果批发（八里桥）,39.9121081676957,116.634443647858,100970,商超生鲜
19801024,维思客蛋糕（五店）,39.8781665341402,116.318451544585,101276,甜点饮品
80993192,利丰水果经销部,39.9124261055071,116.633821036366,100970,商超生鲜
69691581,欧麦面包坊,39.9914330622787,116.359230071783,101276,甜点饮品
