origin,destination,count
68164162,2404204,14
68164162,6112313,10
68164162,65504764,10
68164162,67616965,13
68164162,69510868,9
68164456,48007845,12
68173953,23115510,10
68173953,69419758,9
68184085,19107806,13
68184085,21107781,11
68184085,26233438,13
68184085,3195202,14
68184085,4504628,9
68184085,57297262,10
68184085,59115286,9
68184085,65504764,9
68184085,66731457,10
68184085,67328901,9
68184085,67616965,10
68184085,67731529,11
68184085,68074685,10
68184085,68210945,9
68184085,73391928,10
68210945,58198003,11
68210945,68184085,9
68210945,69004835,9
68210945,75110565,12
68210945,90063338,10
68993398,67989899,28
69004835,68210945,9
69027105,2410459,10
69027105,5311691,11
69027105,66571319,11
69061150,66058505,10
69087720,18025909,14
69087720,2242231,11
69087720,4504628,11
69087720,5306282,9
69087720,66075414,10
69087747,17105567,10
69087747,33522078,10
69088877,67630692,9
69088877,69775257,14
69181394,3157528,10
69181394,67328901,10
69226280,50581176,10
69261275,48391060,23
69261511,59419275,10
69341460,16985157,12
69419758,18039986,9
69419758,32565422,9
69419758,4233334,11
69419758,58198003,9
69419758,65504764,9
69419758,67174801,9
69419758,68173953,9
69419758,69894203,10
69510868,17812756,15
69510868,2339536,9
69510868,514404,11
69510868,5436342,10
69510868,56569601,17
69510868,57297262,12
69510868,58198003,9
69510868,6112313,17
69510868,65504764,9
69510868,67255663,9
69510868,67616965,9
69510868,67630485,13
69510868,68164162,9
69510868,69843984,13
69510868,8988572,15
69562621,21973145,9
69660818,67207124,11
69664087,66181473,10
69691581,18673674,10
69691581,23365518,9
69691581,2379367,9
69691581,24029703,15
69691581,4117988,9
69691581,516103,13
69691581,66467642,9
69702918,48010354,11
69702918,66571319,13
69711945,32675811,18
69711945,79368075,12
69735309,27350042,13
69735309,32738585,9
69735309,7315094,13
69735309,76383406,16
69735309,77275843,9
69775257,69088877,14
69779503,57567064,10
69815615,1754941,9
69815615,17887879,9
69815615,4504628,14
69815615,5306282,9
69815615,67328901,9
69815615,67616965,14
69820706,77263295,10
69843608,23201528,10
69843608,57773173,10
69843984,17812756,9
69843984,6112313,9
69843984,65712689,10
69843984,67630485,27
69843984,69510868,13
69845020,57447829,9
69894203,19224985,9
69894203,3101473,9
69894203,57297262,9
69894203,59158340,9
69894203,66731457,10
69894203,69419758,10
69894203,73622292,12
69894203,79623458,11
69951580,68147168,10
69952286,13664014,31
69952286,67405206,15
70446815,26208631,16
70505240,24029703,11
70505240,7315094,14
70505240,76383406,10
72338357,67402727,16
72338357,67841285,15
72464334,513712,13
72464334,68062571,22
7315094,24029703,10
7315094,27350042,11
7315094,32738585,12
7315094,69735309,13
7315094,70505240,14
7315094,75089511,14
7315094,76383406,15
7315094,77275843,11
73391928,3101473,9
73391928,58198003,9
73391928,67731529,10
73391928,68184085,10
73391928,90063338,9
73430260,76996693,13
73622292,58670973,9
73622292,66731457,13
73622292,67790988,10
73622292,69894203,12
74597694,45409775,9
75089511,24029703,13
75089511,7315094,14
75089511,76383406,9
75110565,18673674,9
75110565,5306282,9
75110565,58198003,10
75110565,68210945,12
75110565,75154099,9
75110565,76085946,10
75110565,90063338,15
75149549,38108752,10
75154099,75110565,9
75154099,90063338,11
75642835,57289598,10
75675352,13818394,11
76085946,75110565,10
76271140,39928597,10
76383406,24029703,17
76383406,27350042,26
76383406,32738585,13
76383406,38084577,10
76383406,69735309,16
76383406,70505240,10
76383406,7315094,15
76383406,75089511,9
76383406,77275834,10
76383406,77275843,11
76753703,67846538,11
76836306,15180187,10
76943762,23099282,11
76989510,77490124,22
76996693,73430260,13
77003223,77294658,15
77003223,77490124,11
77263295,69820706,10
77275834,76383406,10
77275843,27350042,10
77275843,69735309,9
77275843,7315094,11
77275843,76383406,11
77281906,45301812,15
77294658,77003223,15
77294658,77490124,9
77490124,67227774,10
77490124,76989510,22
77490124,77003223,11
77490124,77294658,9
77608089,83548959,34
79368075,69711945,12
79615258,23115510,9
79623458,69894203,11
79623458,90063338,9
80541970,83473328,22
81756562,27152345,9
83473328,67311683,9
83473328,67731529,14
83473328,80541970,22
83548959,77608089,34
83611892,48162367,15
83611892,59729580,14
8819555,2900014,10
8819555,32565422,12
8819555,514404,15
8819555,65712689,10
8988572,17812756,10
8988572,2404204,14
