origin,destination,count
3469897,79303690,12
3469897,79446907,9
2749942,512716,13
2749942,512939,13
2749942,1944889,13
2749942,2003104,9
2749942,2281906,15
2749942,2585788,9
2749942,2678710,10
2749942,3304546,9
2749942,5397106,9
2749942,5616861,9
2749942,5621450,10
2749942,6047711,9
2749942,8074790,12
2749942,13725566,11
2749942,13836690,10
2749942,16988545,9
2749942,18768923,11
2749942,21949591,11
2749942,21959977,11
2749942,23223824,10
2749942,48011181,12
2749942,67496973,9
2749942,67647906,10
2749942,67731779,17
2749942,67903235,19
2749942,68190129,9
2749942,70426517,10
38108752,75149549,10
79368075,69711945,12
23939735,6047711,9
23939735,23612386,12
57394803,510278,11
57394803,2490793,12
57394803,2547121,10
57394803,2774815,13
57394803,21935113,9
57394803,23449334,9
57394803,35937614,13
57394803,48183195,10
57394803,59262032,10
6163408,8988699,10
6163408,9044082,10
74466842,1895722,11
74466842,2037022,9
74466842,2281906,9
74466842,8988699,11
74466842,11576492,11
74466842,15131638,10
74466842,20697180,15
74466842,22376293,9
74466842,82879653,11
14922496,6526138,10
14922496,18216362,18
14922496,43560701,9
14922496,65900598,9
65753352,18494821,14
18494821,2281906,11
18494821,2971285,11
18494821,13836690,11
18494821,18498990,9
18494821,22376293,10
18494821,38089288,10
18494821,65753352,14
66756747,66691091,19
66756747,76831840,9
19011214,1916689,11
19011214,2274049,11
19011214,3116893,9
19011214,5616861,11
19011214,7992674,9
19011214,8968906,9
19011214,20648674,11
19011214,21993091,12
19011214,22574697,10
19011214,58223978,9
19011214,58738167,12
19011214,67124168,9
19011214,67496973,9
19011214,67624497,9
19011214,69303244,10
19011214,69572326,9
19011214,69797642,9
19164707,7315094,21
19164707,24029703,18
19164707,27350042,30
19164707,32738585,18
19164707,38084577,13
19164707,63374776,21
19164707,66596956,18
19164707,69735309,18
19164707,70505240,15
19164707,75089511,10
19164707,76383406,58
19164707,77275834,12
19164707,77275843,13
8074790,509581,9
8074790,511764,9
8074790,512579,21
8074790,2274049,15
8074790,2349583,9
8074790,2398612,12
8074790,2678710,9
8074790,2749942,12
8074790,3304546,11
8074790,3690208,9
8074790,5397106,14
8074790,5441506,10
8074790,5616861,15
8074790,7992674,17
8074790,12594495,11
8074790,13836690,10
8074790,16988545,22
8074790,19122301,21
8074790,21993091,9
8074790,23223824,16
8074790,27727752,17
8074790,58223978,16
8074790,69303244,9
8074790,69484387,9
8074790,69572326,9
8074790,70426517,11
511764,512237,12
511764,512716,10
511764,1884214,9
511764,1916689,14
511764,2477131,17
511764,2490793,9
511764,2585788,9
511764,2774815,17
511764,3167710,10
511764,3690208,9
511764,4189642,10
511764,4547725,11
511764,5621450,10
511764,8074790,9
